;Unnamed: 0;text;airline_sentiment
0;2527; 132 characters not cover reasons I'm afraid;negative
1;6640; worst customer service, Terrible attitudes. care big storm. Your employees need attitude adjustment;negative
2;8175; #poorservice #poorcommunication #waitingsince 10:51 bags frm flight 424!!! #jetblue;negative
3;2426;" Right Tropic Air San Pedro, #Belize. Line door. All due elected &amp; appointed hacks http://t.co/kKEDjNRTWo”";negative
4;4457; Switching planes due mechanical problems. How reboarding work? Was A49, end long line. Stuck middle?;negative
5;13729; going since can't take option gave me. What type refund me?;negative
6;4013;"Cc  #boldflavors “: We’re bringing Bourbon St. 35,000 ft. bold flavors, fresh ingredients dining options""";positive
7;12030; want speak human being! !! This not obscene request!;negative
8;12167; I'm frustrated  attitude toward #ExecPlat members. #thenewamerican;negative
9;13879; I've tryin use voucher book flight last 2days. Lines busy. Plse help me?The flight may go up.;negative
10;1414; sponsor oscars? No wonder half hour delayed. #Oscars;negative
11;7951; yes! Terra blue chips favorite. :);positive
12;7492; also not food available even purchase quite shocking since hour international flight.;negative
13;1691; could give free flights life, I'd still choose purchase tickets competitor.;negative
14;11641; flt 470 Tampa CLT Late Flight gonna miss conn BOS do?;negative
15;14166; fight got Cancelled Flighted help rebook flight? Call center busy answer calls even put hold #yuck;negative
16;2577; delayed departure hrs wait passengers another flight Late Flight! Unacceptable!!;negative
17;5927;" A-list program complete JOKE! Your company not value loyal customers.Time look another ""go-to"" airliner";negative
18;1456;" tried online tracking said something like ""attempting locate luggage""";negative
19;3342; Rude grouchy agent Dulles check-in got 19 hour trip lousy start. He needs nap something.;negative
20;5107; Thanks helping out! Class act, way... see air!;positive
21;6736; really unhelpful. Why can't rebook online? http://t.co/N5O43sVl8i;negative
22;10311;“:  Please reach crewmember assistance. Our apologies long wait.” #generic;negative
23;314; Looks like broken link assets https://t.co/OArDjjGrrD;negative
24;1099; MEX NRT (dates TBD) I'm getting 200 300 USD difference quotations September compared MEX BKK;negative
25;17; flew NYC SFO last week fully sit seat due two large gentleman either side me. HELP!;negative
26;8484; thanks. appreciate prompt response.;positive
27;11368; ok thank told ground delay due snow.;positive
28;9925; despite mechanical issues many delays followed Cancelled Flightlation, still getting Vegas thanks great gate agents!;positive
29;1711; ouch not fair;negative
30;12964; Miami-PhL flight Cancelled Flightled got gate. No one AA around, no one phone. Awful awful awful.;negative
31;9621; Flight gets 30 minutes early goodwill gone bags 45 minutes Late Flightr;negative
32;9381; 1-2! Rock hit plane! In delay now! Never easy day US Airways! Ya never fail let down!;negative
33;4544; Kudos bag handler DTW gate 21 7:10 pm. Ran keep bags hitting ground degree temp! http://t.co/5tXU5tSFkJ;negative
34;3712; thanks I'll fill form no one reads responds to.;negative
35;11303; yeah guys told call website booked from. booked website. UNACCEPTABLE;negative
36;11424; sent letter letter get back nothing form letters half baked reply's #usairwaysssuck;negative
37;12934;" finally final destination not w/o extra significant travel expenses &amp; missed work. How resolve experience?";negative
38;12529; no no no, YOU DM me, pay money want reach help? How way around;negative
39;7580; here's part: bag drop inserted JetBlue cc, print pass. Agent standing front refused print pass;negative
40;6558;" GF 2.5yrs, SF &amp; live Tulsa. SWA always takes see love! #SouthwestLuvSweeps";positive
41;11890; slept miami airport due mechanical issues given 10,000 bonus miles try make right. #slapintheface;negative
42;7073;  Spoke Corp. Customer Support already. Shame. Probably reasonable cheaper resolution had. Regards;negative
43;12112; guys killing me. http://t.co/22iPGeIcSm;negative
44;11278; really frustrating endlessly waiting PHL ground crew taxi us 10pm night. Why taking long?!;negative
45;1629; EVERYTIME fly UR airline hate even Thanks terrible service flight 1071;negative
46;3361; anyone awake? Paying wifi iPhone need using laptop. Logout option wifi flight? Time wasting!;negative
47;7067; You respond complaints cultural appropriation it!? You're Spirit Airlines fly list.;negative
48;3865;.: Just landed. day Late Flight almost no sleep, here. feel sorry woman consoled who's mother died night.;negative
49;10833; flight already over. think airline flight attendants actually emphasize VAPE still smoking;negative
50;4494; asked Lindsey call instead DM like schoolgirl far no call Getting tired typing little notes;negative
51;9640; not mention fact flight delayed BECAUSE YOUR COMPUTERS WERE DOWN;negative
52;3246;"“:  See information boarding process: http://t.co/gBIw9ugFNm ^KP”. get group 1&amp;2. Just no reason 3/5.";negative
53;7990; Please come Indianapolis!;positive
54;10279; flight Cancelled Flightled guys Answering phones;negative
55;11818; #crew keeping safety top mind CLT. http://t.co/a0YoSJHZMc;positive
56;14264; Still sitting airport 6:05 flt delayed 6:55...but still not boarding, happening? No info....;negative
57;14625; Flight 236 great. Fantastic cabin crew. A+ landing. #thankyou #JFK http://t.co/dRW08djHAI;positive
58;4715; did, no one find bag need everything next two hours.;negative
59;2604; lax29108m make happen please else cruise no luggage tomorrow;negative
60;13752; first flight Cancelled Flightled. Been hold hours. Need information getting none. Help?;negative
61;13969; dropping ball. Again. No catering. Plane switch. No gate attendant. hours Late Flight. Really nice.;negative
62;5605; oh see there! Thanks supporting #PadresST.;positive
63;14033; approaching three hours sitting plane ground DFW #AmericanAirlines flight 3056 Oscar performance;negative
64;12432; Sorry sad answer fully refundable first fare no response weeks No AA future;negative
65;8343; flying soon NYC airline, airlines I've flown still #1 😊😊😊✈️✈️✈️;positive
66;2667; flight #3367 arrive early delayed due no gate available. We 20 min Late Flight tarmac;negative
67;5765; #delayed again! You're killing Late Flightly!;negative
68;9158; bag landed day Late Flight sfo 11:40am. How 10:01pm still it? Flight 719 2/22/14;negative
69;11578; 25 mins scheduled departure still sitting terminal. Communication would lovely... http://t.co/pkAxUNYfn2;negative
70;3915;" &lt;&lt;&lt;&lt;&lt;&lt;-------- not reply emails?";negative
71;14376; kidding me? No one answering calls reserv line due high call volume not even option wait. Brutal;negative
72;6828; can't link flight last week TruBlue account 1800 num answering..don't make fly  again, dont it!;negative
73;13302;" phone calls, hrs sent back &amp; forth two lines terminal skycap finds solution";negative
74;4848; make us tru find space flights. This customer service bad .;negative
75;12857; Additional fare cost $19.. Tix change price 195 UK Pounds ($304). $19 not issue 195 UK Pounds IS #badcustomerservice;negative
76;12985; thank assistance;positive
77;5640; understood. Just frustrating, buy early bird check day go sale 6:30am get mid 'b'. Feel ripped off.;negative
78;7245; Rats, that's bummer!;negative
79;9895; months old suffering rare form cancer. Your customer service agents no compassion disgusted;negative
80;13528; merger   cluster inefficiency misinformation. When going done?;negative
81;12600; There 24 hours Cancelled Flight change itineraries booked online 24 hours over. Impossible scenario;negative
82;11336; Secondary screenings, piece plane missing... Anything want tell us?;negative
83;9289; strikes again--Late Flight crew #3/4 trip maintenance #2/4. Worth extra $200/trip less hassle fewer delays;negative
84;10466; change fee request month ago. one hour phone team, I’m told 120 day backlog. Awful.;negative
85;7334; gif game strong.;negative
86;3238; thanks 2hr delay no ground crew landed. At least break http://t.co/GCWVFuopl2;negative
87;2394; nope. Called, lost seating preference paid for, still sit. We'll see happens w/ flight Late Flightr.;negative
88;12835; funds purchase another ticket? Your error would cause family miss funeral;negative
89;8409; flight 51 4/24/15 moved back? When booked said arrive 11:31 says 12:08;negative
90;174; applied weeks ago. Haven't heard back I'm flying week #disappointed;negative
91;484; Grouping Virgin others now. BOS weather exposed actual Cus Serv model. Never Flight Booking Problems Virgin again!;negative
92;13948; ya sitting plane.;negative
93;14320;" severely upset rude cs rep. get prob stressed, too! An ""aw, let help"" cld mk btr";negative
94;3507; that's fine. I'll take them.;positive
95;12657; going flight 2417? It delay lot;negative
96;5956; great news  today. Finally, Columbus' top unserved market flights.;positive
97;14131; tried getting help agents, phone, twitter, FB. Can no one American Airlines help me?;negative
98;14300; delayed.....wow;negative
99;7725; want give warm thanks crew Logan airport still getting DC area Cancelled Flightlations morning!;positive
100;5128; coming 10 hrs gate, not leaving without baggage. SWA nightmare!;negative
101;9297; 24 hrs traveling welcomes back home US. hr layover get watch going wrong destination.;negative
102;5825; tried return orig booked flt. told overbooked.Gng diff dest.Feel like switched purpose bec overbook.;negative
103;495; flight (6000) scheduled 1pm departure still says time no plane gate. Any update long delay?;negative
104;2632; time respond everyone else's complaints not mine. You lost customer;negative
105;9858;  nvm bad hour half #thanks;negative
106;8651;It's me, ! That's not said last night, though... :(;negative
107;2871; Still waiting bag! Never got delivered yesterday. Can't reach real person help. Sending DM ref number.;negative
108;8588; #FoodAllergy community. IF want continued loyalty, need better that. Perhaps training (2/3);negative
109;3912;" the...? go ""all airlines lounge"" w/ Star Alliance Club Card BCN told Star Alliance accepted";negative
110;6299; boarded plane told get plane. Now hour delay. 😭😭;negative
111;1865; finally got helpful. Appreciate it!;positive
112;2834; requested online refund option denied saying ticket used, hope understand problem approach;negative
113;2494; what's going mileage plus accounts? Login username email least three days.;negative
114;3642; mean real live person somewhere go speak Newark post security?;negative
115;10915; thanks helping #reFlight Booking Problems #Cancelled Flightedflight Yvonne Anthony. You help us get Tel Aviv time. #HappyFriday;positive
116;9117; They're also saying CLT flights delayed not showing system makes impossible figure;negative
117;2688; Yes appreciated misinformation damages credibility. You may want someone observe Newark #fwiw;negative
118;10448; made change online, check-in online, call (3 hrs hold btw). Shouldn't charged $25;negative
119;8258; said delayed due mechanical issues. I'm looking something little specific.;negative
120;8518; big board says leaving 8:30;negative
121;13015;" After patient ""delayed"" bags weeks, told could take another weeks. Unacceptable!";negative
122;5096; never lets down!!!;positive
123;3991;" ur Hemispheres magazine. I'm open make ""flight pleasant."" http://t.co/VrQDpqEPFW";negative
124;11043; ARE YOU KIDDING ME?? Bad customer service, folks. Flew PSP PHX flight 2692 2/19. (cont) http://t.co/KigfKVXxDQ;negative
125;5656; already booked tickets August 20th-30th! Can't wait vacation!;positive
126;13102;" Way suck customer service, Dallas trapped ice storm Cancelled Flight 7am flight &amp; hold day.";negative
127;3096; black white. EU law €600 Cancelled Flightled flight. want money;negative
128;1364;  ual sucks;negative
129;9881; anyone actually work dividend miles department? http://t.co/BgtJFmnEOT;negative
130;1918; Found flight 2.5 hrs. How offered $200 flight voucher 12 hrs before, lose seat neglect, get nothing?;negative
131;5249; standing Las Vegas flight says time, reps telling us flights Denver Cancelled Flightled. HELP;negative
132;4088; obviously staff EWR United otherwise not seen ads FRIENDLY helpful #ewr worst airport;negative
133;1039; Heads We check bags, checked arrived, claim #s 2. Other people's bags? http://t.co/dplQ3mhQGD;negative
134;5342; LOST Kay Chapman Designs art-luggage important show. Won't help locate it. Terrible customer service.;negative
135;3278;" think hiring baggage attendants EWR? Been waiting bags hr. United overcharged&amp;underserved";negative
136;8003; thanks reply. It flight 1572.;positive
137;6329; Next arrived Atlanta, waited full HOUR luggage placed carousel. One hour!;negative
138;12816; What going nightmare guys yesterday? Zero response tweet last sent me.;negative
139;13452; flight 1106 Cancelled Flightled need get back Cleveland. What options?;negative
140;12521; not weather thats said people received hotel rooms people end line not get;negative
141;2976; calling customer service. delayed flights today now, luggage misplaced, disaster across board.;negative
142;10696; transferred 4x pleeeeeeeease help!;negative
143;10643; Just spoke representative. Moved flight earlier. Thank much follow up.;positive
144;5819; honest, expect fast response, thank you! Off #Chiberia go!;positive
145;3592;" despicable spoke many diff people &amp; everyone telling something different claim no. need bag";negative
146;966;" Cancelled Flighted flights no reason &amp; phone AN HOUR vacation. Why?";negative
147;6263; Yes! bags came straight hotel. Thank ...you guys rock!;positive
148;341; adore you, looking forward flight Austin two weeks.;positive
149;11579;" day disaster, rude employees, no help &amp; no hotel. not flying &amp; fly ALOT! Dallas=raise=now!";negative
150;1519; time take wet clothes/suit back airport going pay another cab so.;negative
151;13189; hours get backs back sat plane hours flight Cancelled Flightled one small drink;negative
152;10761; get bag Gate Gate Charlotte airport pm flight (Late Flight cause yall) I’ll ride US life;negative
153;622; process ever end? Still waiting reply since months #pathetic #customerservice;negative
154;4208; looks like I'm settled I'm going. Thx.;positive
155;4331;" still no update text #2053 &amp; still no response email fr1/5/2015 SR #256746438028. Feel like yr losing customer service/care";negative
156;3326; installed working not same. Kicked hour let back in. Four wasted hours.;negative
157;3796; good start would warm plane departure time flight delayed due frozen water lines.;negative
158;8933; flight delayed 2.5 hours. This insane. Every flight made NYC.;negative
159;7000; We major plane-wide DirectTV issues yesterday. System kept reset crew member.;negative
160;2092; look delta flights landed pilots claimed fly 6232 JAC. http://t.co/6Kp4m0R1f7;negative
161;5109; Flight Cancelled Flighted, I've hold 50 minutes no human interaction. wanna get away.;negative
162;6245;#SWADiversity We ready inspired! http://t.co/S3EsW5AgUm;positive
163;7501; My wife dog. They even let plane. My daughter Newburgh lives close by. So wrong;negative
164;6707; I'm A-list Preferred customer loyal SWA. However, inflight wifi no better today years ago.;negative
165;14500;  So saying call center understaffed?;negative
166;9399;" thanks, hope so. Maybe put good word me? ;-)";positive
167;12465; yes Dulles need delivered Embassy Suites Herndon, VA. I'm still Chicago fiasco LAX;negative
168;11634; call weather act God refuse help. wife kids no sympathy.;negative
